"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","test_create_booking[payload0]","tests","2026-06-04","passed","2026-06-04","","test_create_booking","",""
"","182","test_create_booking[payload1]","tests","2026-06-04","passed","2026-06-04","","test_create_booking","",""
"","41","test_update_booking","tests","2026-06-04","passed","2026-06-04","","test_update_booking","",""
"","33","test_delete_booking","tests","2026-06-04","passed","2026-06-04","","test_delete_booking","",""
"","173","test_create_booking[payload2]","tests","2026-06-04","passed","2026-06-04","","test_create_booking","",""
"","38","test_get_a_booking","tests","2026-06-04","passed","2026-06-04","","test_get_a_booking","",""
"","41","test_update_partially_booking","tests","2026-06-04","passed","2026-06-04","","test_update_partially_booking","",""
"","42","test_get_all_booking","tests","2026-06-04","passed","2026-06-04","","test_get_all_booking","",""
"","424","test_take_token","tests","2026-06-04","passed","2026-06-04","","test_api_chaining","",""
